	Bayesian Skyline: ST167_CBS_relaxed_expo_combined.log			
time	date	datetime	milliseconds	mean	median	upper	lower
2024.0	2023-12-30	2023-12-30T14:00:00	1703944800118	218.57655462970837	188.30086346878258	495.1495525647625	138.95338397742162
2022.5158480260793	2022-07-06	2022-07-06T20:49:43	1657140583468	171.82510691695538	168.14384849815073	243.24037794815837	117.21139945124443
2021.0316960521586	2021-01-11	2021-01-11T03:39:26	1610336366818	145.1038890188668	149.58409048897116	214.24867712773437	47.33168144325363
2019.547544078238	2019-07-18	2019-07-18T10:29:10	1563445750169	162.789204926889	156.739783040487	250.25710604161378	110.86625718549526
2018.0633921043172	2018-01-22	2018-01-22T17:18:53	1516641533519	98.81038578263096	90.35515695398608	222.28684632803382	17.26259592413617
2016.5792401303966	2016-07-29	2016-07-29T00:08:36	1469750916870	15.438447300916323	13.33519403973112	37.06558558877364	7.601083565698964
2015.0950881564759	2015-02-03	2015-02-03T06:58:20	1422946700220	12.929626323862403	12.229305118236928	24.61294990919884	5.402721269788393
2013.6109361825552	2013-08-10	2013-08-10T13:48:03	1376142483572	12.361868676327646	11.849819411732776	23.4320598447031	4.4549531961343805
2012.1267842086345	2012-02-14	2012-02-14T20:37:46	1329251866923	12.04762009612279	11.666706110652436	22.44031165180265	4.004492087534682
2010.6426322347138	2010-08-22	2010-08-22T03:27:30	1282447650273	NaN	NaN	NaN	NaN
